age;availresolution;code;edu;gender;resolution;system;time;vpid;cid
41;1920x1040;SEDKIH;ASSOCIATES DEGREE;female;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T07:40:16-05:00;419;SEDKIH
29;1024x724;QCDYAO;some college;female;1024x768;"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; MS-RTC LM 8; InfoPath.3; rv:11.0) like Gecko";2016-07-05T08:41:06-04:00;425;QCDYAO
46;1680x1050;GRSYSM;bachelor degree;male;1680x1050;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36;2016-07-05T08:41:05-04:00;423;GRSYSM
32;2560x1400;LFQWGJ;college grad;female;2560x1440;"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; MDDRJS; rv:11.0) like Gecko";2016-07-05T07:41:52-05:00;427;LFQWGJ
47;1366x728;VEGYHD;college;female;1366x768;"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0";2016-07-05T08:44:54-04:00;426;VEGYHD
29;1024x724;PJNZQE;some college;female;1024x768;"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; MS-RTC LM 8; InfoPath.3; rv:11.0) like Gecko";2016-07-05T08:41:56-04:00;428;PJNZQE
34;1366x728;PPVUIH;Bachelors ;female;1366x768;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36";2016-07-05T08:42:17-04:00;429;PPVUIH
28;1680x1050;XMDZGW;Bachelor s Degree;female;1680x1050;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36";2016-07-05T08:41:11-04:00;424;XMDZGW
52;1920x1040;SYGTRF;BA;female;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T07:43:12-05:00;430;SYGTRF
38;1680x1010;FKPBFD;college graduate;female;1680x1050;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:40:28-04:00;431;FKPBFD
46;1202x768;YCODNU;Master of Arts;female;1280x768;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T07:44:16-05:00;432;YCODNU
41;1920x1080;BHDKKC;PhD;male;1920x1080;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:44:38-04:00;433;BHDKKC
48;1360x728;GONGAZ;BSEE;male;1360x768;Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36;2016-07-05T06:44:44-06:00;435;GONGAZ
19;1440x873;MXGFCI;Some College;male;1440x900;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T07:44:48-05:00;434;MXGFCI
34;1366x728;TMPVAV;High School Diploma;female;1366x768;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:45:01-04:00;436;TMPVAV
35;1280x706;FKIPGB;Master Degree;female;1280x800;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36";2016-07-05T08:45:37-04:00;437;FKIPGB
60;1440x815;NJKYJD;Masters;female;1440x900;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17";2016-07-05T08:45:42-04:00;438;NJKYJD
24;1600x860;NDRHBV;Graduate School;female;1600x900;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:46:27-04:00;439;NDRHBV
35;1280x984;MBBWGH;bachelors degree;female;1280x1024;"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; Media Center PC 6.0; InfoPath.3; GWX:MANAGED; GWX:DOWNLOADED; GWX:QUALIFIED; rv:11.0) like Gecko";2016-07-05T08:46:32-04:00;440;
22;375x647;VPJTRH;Bachelors  4year degree ;female;375x667;"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1";2016-07-05T08:46:35-04:00;441;VPJTRH
27;360x640;UUHPNL;Associate;female;360x640;"Mozilla/5.0 (Linux; Android 4.1.2; Z998 Build/JZO54K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36";2016-07-05T08:47:04-04:00;442;UUHPNL
67;1920x1050;XENIZM;some college;male;1920x1080;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T07:47:36-05:00;443;XENIZM
47;1366x728;IWKSXJ;Master s degree;female;1366x768;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36;2016-07-05T08:51:55-04:00;444;IWKSXJ
40;1680x1020;DMGUSW;Masters;male;1680x1050;"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E; rv:11.0) like Gecko";2016-07-05T08:48:25-04:00;445;DMGUSW
59;1680x1010;SBFRTB;some college,no degree;female;1680x1050;"Mozilla/5.0 (Windows NT 6.3; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-05T08:51:30-04:00;446;SBFRTB
62;1551x876;NDDSFZ;bs;male;1600x900;"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-05T07:51:27-05:00;447;NDDSFZ
25;1920x1040;YVBLUD;Some College;female;1920x1080;"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; InfoPath.3; rv:11.0) like Gecko";2016-07-05T08:52:02-04:00;449;YVBLUD
43;1366x721;LGXWQF;Some College;male;1366x768;"Mozilla/5.0 (X11; CrOS x86_64 8172.60.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T05:52:23-07:00;450;LGXWQF
50;1680x1050;WKMESW;Associates Degree;female;1680x1050;"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-05T08:52:32-04:00;452;WKMESW
32;1280x984;RBQEBS;College graduate  4 year degree ;female;1280x1024;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36;2016-07-05T08:51:56-04:00;448;RBQEBS
27;1366x728;LUSFEO;associate;female;1366x768;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586";2016-07-05T08:52:19-04:00;451;LUSFEO
