code;page;time;vpid;cid
JSPMZL;1;20838;489;JSPMZL
LYACUF;-1;409962;488;LYACUF
LYACUF;0;3587;488;LYACUF
LYACUF;1;28735;488;LYACUF
LYACUF;2;21290;488;LYACUF
LYACUF;3;10953;488;LYACUF
PMESXV;-1;8567;490;PMESXV
PMESXV;0;3377;490;PMESXV
PMESXV;1;17351;490;PMESXV
PMESXV;2;6551;490;PMESXV
PMESXV;3;3949;490;PMESXV
XUACRU;-1;7983;491;XUACRU
XUACRU;0;5303;491;XUACRU
XUACRU;1;37876;491;XUACRU
EBMYYE;-1;6258;492;EBMYYE
EBMYYE;0;8971;492;EBMYYE
EBMYYE;1;11558;492;EBMYYE
EBMYYE;2;26040;492;EBMYYE
EBMYYE;3;9645;492;EBMYYE
QKETFJ;-1;16786;493;QKETFJ
QKETFJ;0;10696;493;QKETFJ
QKETFJ;1;32282;493;QKETFJ
QKETFJ;2;17999;493;QKETFJ
QKETFJ;3;9458;493;QKETFJ
SXBQJK;-1;2736;494;SXBQJK
SXBQJK;0;3367;494;SXBQJK
XNGETM;-1;16999;495;XNGETM
XNGETM;0;162795;495;XNGETM
EMKMQF;-1;1453;496;EMKMQF
EMKMQF;0;1830;496;EMKMQF
EMKMQF;1;15578;496;EMKMQF
EMKMQF;-1;5038;496;EMKMQF
EMKMQF;0;1245;496;EMKMQF
EMKMQF;1;3474;496;EMKMQF
IJATVV;-1;1951;497;IJATVV
IJATVV;0;2087;497;IJATVV
IJATVV;1;2187;497;IJATVV
IJATVV;2;16754;497;IJATVV
IJATVV;3;3205;497;IJATVV
SBPLUR;-1;5394;498;SBPLUR
SBPLUR;0;255391;498;SBPLUR
NCSCZX;-1;19461;500;NCSCZX
NCSCZX;0;5984;500;NCSCZX
OVTUZX;-1;6449;501;OVTUZX
OVTUZX;0;2350;501;OVTUZX
OVTUZX;1;7067;501;OVTUZX
OVTUZX;2;3228;501;OVTUZX
OVTUZX;3;4329;501;OVTUZX
